NAME,population,median_household_income,state,county,tract
Census Tract 4271; Alameda County; California,4146,206118,06,001,427100
Census Tract 4272; Alameda County; California,4371,107535,06,001,427200
Census Tract 4273; Alameda County; California,5357,136681,06,001,427300
Census Tract 4276; Alameda County; California,4839,95691,06,001,427600
Census Tract 4277; Alameda County; California,4883,103333,06,001,427700
Census Tract 4278; Alameda County; California,4397,148542,06,001,427800
Census Tract 4279; Alameda County; California,4764,105836,06,001,427900
Census Tract 4280; Alameda County; California,2969,99956,06,001,428000
Census Tract 4281; Alameda County; California,4661,162350,06,001,428100
Census Tract 4282; Alameda County; California,6449,105398,06,001,428200
Census Tract 4283.01; Alameda County; California,6832,188419,06,001,428301
Census Tract 4283.02; Alameda County; California,6527,206780,06,001,428302
Census Tract 4284; Alameda County; California,4870,107083,06,001,428400
Census Tract 4285; Alameda County; California,3417,143529,06,001,428500
Census Tract 4286; Alameda County; California,3283,125446,06,001,428600
Census Tract 4287; Alameda County; California,5111,137292,06,001,428700
Census Tract 4301.01; Alameda County; California,6501,211029,06,001,430101
Census Tract 4301.02; Alameda County; California,2434,185956,06,001,430102
Census Tract 4302; Alameda County; California,7403,181250,06,001,430200
Census Tract 4303; Alameda County; California,4094,168750,06,001,430300
Census Tract 4304; Alameda County; California,2148,208929,06,001,430400
Census Tract 4305; Alameda County; California,6087,92139,06,001,430500
Census Tract 4306; Alameda County; California,6786,179605,06,001,430600
Census Tract 4307; Alameda County; California,3905,131250,06,001,430700
Census Tract 4308; Alameda County; California,5796,101784,06,001,430800
Census Tract 4309; Alameda County; California,5474,119028,06,001,430900
Census Tract 4310; Alameda County; California,3143,96250,06,001,431000
Census Tract 4311; Alameda County; California,3538,105329,06,001,431100
Census Tract 4312; Alameda County; California,5572,104646,06,001,431200
Census Tract 4321; Alameda County; California,3828,183735,06,001,432100
Census Tract 4322; Alameda County; California,3940,92702,06,001,432200
Census Tract 4323; Alameda County; California,4781,156531,06,001,432300
Census Tract 4324; Alameda County; California,6332,96500,06,001,432400
Census Tract 4325.01; Alameda County; California,4852,123232,06,001,432501
Census Tract 4325.02; Alameda County; California,5111,112483,06,001,432502
Census Tract 4326.01; Alameda County; California,4267,89630,06,001,432601
Census Tract 4326.02; Alameda County; California,3109,98571,06,001,432602
Census Tract 4327; Alameda County; California,2654,96481,06,001,432700
Census Tract 4328; Alameda County; California,4037,130202,06,001,432800
Census Tract 4330; Alameda County; California,3674,102118,06,001,433000
Census Tract 4331.02; Alameda County; California,4064,102703,06,001,433102
Census Tract 4331.03; Alameda County; California,3460,64615,06,001,433103
Census Tract 4331.04; Alameda County; California,4584,78603,06,001,433104
Census Tract 4332; Alameda County; California,8135,84818,06,001,433200
Census Tract 4333; Alameda County; California,7265,102823,06,001,433300
Census Tract 4334; Alameda County; California,5824,127601,06,001,433400
Census Tract 4335; Alameda County; California,4084,75319,06,001,433500
Census Tract 4336; Alameda County; California,5871,82457,06,001,433600
Census Tract 4337; Alameda County; California,3206,84813,06,001,433700
Census Tract 4338.01; Alameda County; California,3290,97155,06,001,433801
Census Tract 4338.02; Alameda County; California,4084,104289,06,001,433802
Census Tract 4339; Alameda County; California,6850,80148,06,001,433900
Census Tract 4340; Alameda County; California,5378,55962,06,001,434000
Census Tract 4351.02; Alameda County; California,5595,129191,06,001,435102
Census Tract 4351.03; Alameda County; California,7325,184875,06,001,435103
Census Tract 4351.04; Alameda County; California,6615,119681,06,001,435104
Census Tract 4352; Alameda County; California,4530,129375,06,001,435200
Census Tract 4353; Alameda County; California,4909,114484,06,001,435300
Census Tract 4354; Alameda County; California,5077,83310,06,001,435400
Census Tract 4355; Alameda County; California,4023,81275,06,001,435500
Census Tract 4356.01; Alameda County; California,4813,80325,06,001,435601
